Title,Runtime,MPAA Rating,IMDb Score,Release Year
Shazam! Fury of the Gods,130 min,PG-13,6.7,(2023)
Scream VI,122 min,R,7.3,(2023)
65,93 min,PG-13,5.7,(2023)
Creed III,116 min,PG-13,7.3,(2023)
Luther: The Fallen Sun,129 min,R,6.4,(2023)
We Have a Ghost,126 min,PG-13,6.1,(2023)
Cocaine Bear,95 min,R,6.2,(2023)
The Strays,100 min,TV-MA,4.7,(2023)
Ant-Man and the Wasp: Quantumania,124 min,PG-13,6.4,(2023)
Sharper,116 min,R,6.6,(2023)
Your Place or Mine,109 min,PG-13,5.6,(2023)
Somebody I Used to Know,106 min,R,5.7,(2023)
Magic Mike's Last Dance,112 min,R,5.3,(2023)
Winnie the Pooh: Blood and Honey,84 min,18A,3.9,(2023)
Teen Wolf: The Movie,140 min,TV-MA,5.6,(2023)
Pathaan,146 min,Not Rated,6.4,(2023)
True Spirit,109 min,TV-PG,6.8,(2023)
Knock at the Cabin,100 min,R,6.1,(2023)
The Wandering Earth II,173 min,PG,7.9,(2023)
Infinity Pool,117 min,R,6.1,(2023)
Missing,111 min,PG-13,7.2,(2023)
You People,117 min,R,5.5,(2023)
Waltair Veerayya,155 min,14A,6.4,(2023)
Plane,107 min,R,6.5,(2023)
Varisu,169 min,PG,6.2,(2023)
Thunivu,146 min,14A,6.2,(2023)
Operation Fortune: Ruse de guerre,114 min,R,6.4,(2023)
Shotgun Wedding,100 min,R,5.4,(2022)
A Man Called Otto,126 min,PG-13,7.5,(2022)
Whitney Houston: I Wanna Dance with Somebody,144 min,PG-13,6.7,(2022)
Babylon,189 min,R,7.3,(I) (2022)
Narvik: Hitler's First Defeat,108 min,TV-14,6.6,(2022)
The Pale Blue Eye,128 min,R,6.6,(2022)
Something from Tiffany's,87 min,PG,6.2,(2022)
Puss in Boots: The Last Wish,102 min,PG,7.9,(2022)
M3GAN,102 min,PG-13,6.4,(2022)
Avatar: The Way of Water,192 min,PG-13,7.8,(2022)
Emancipation,132 min,R,6.1,(2022)
Your Christmas or Mine?,95 min,13+,6.4,(2022)
Troll,101 min,TV-14,5.8,(2022)
The Noel Diary,99 min,TV-14,6.1,(2022)
Strange World,102 min,PG,5.6,(2022)
Disenchanted,119 min,PG,5.6,(2022)
The People We Hate at the Wedding,99 min,R,5.8,(2022)
Drishyam 2,140 min,PG,8.2,(2022)
Scrooge: A Christmas Carol,96 min,TV-Y7,6.2,(2022)
A Christmas Story Christmas,98 min,PG,6.7,(2022)
Christmas with You,89 min,TV-PG,5.6,(2022)
Violent Night,112 min,R,6.7,(2022)
Violent Night,112 min,R,6.7,(2022)
Slumberland,117 min,PG,6.7,(2022)
Spirited,127 min,PG-13,6.6,(2022)
Falling for Christmas,93 min,TV-PG,5.2,(2022)
Black Panther: Wakanda Forever,161 min,PG-13,6.8,(2022)
On the Line,104 min,R,5.4,(II) (2022)
Enola Holmes 2,129 min,PG-13,6.7,(2022)
Lamborghini: The Man Behind the Legend,97 min,R,5.3,(2022)
Black Adam,125 min,PG-13,6.3,(2022)
The School for Good and Evil,147 min,PG-13,5.8,(2022)
Prey for the Devil,93 min,PG-13,5.2,(2022)
